ZIP Code,ZIP Code Name,Population
20041,Washington,-99
20120,Centreville,40695
20121,Centreville,27988
20124,Clifton,14857
20151,Chantilly,21374
20170,Herndon,41236
20171,Herndon,45887
20190,Reston,17529
20191,Reston,29128
20192,Herndon,-99
20194,Reston,13165
22003,Annandale,55990
22015,Burke,43102
22027,Dunn Loring,2362
22030,Fairfax,55066
22031,Fairfax,29795
22032,Fairfax,29377
22033,Fairfax,37691
22034,Fairfax,N/A
22035,Fairfax,N/A
22036,Fairfax,N/A
22039,Fairfax Station,18364
22041,Falls Church,27989
22042,Falls Church,33537
22043,Falls Church,24302
22044,Falls Church,14092
22046,Falls Church,16235
22060,Fort Belvoir,8878
22066,Great Falls,18099
22067,Greenway,218
22079,Lorton,32059
22081,Merrifield,N/A
22101,McLean,29887
22102,McLean,21985
22124,Oakton,17558
22150,Springfield,27105
22151,Springfield,17456
22152,Springfield,28550
22153,Springfield,31285
22180,Vienna,23491
22181,Vienna,14879
22182,Vienna,24863
22302,Alexandria,16485
22303,Alexandria,12601
22304,Alexandria,44300
22306,Alexandria,32326
22307,Alexandria,9581
22308,Alexandria,12737
22309,Alexandria,33220
22310,Alexandria,29609
22311,Alexandria,17560
22312,Alexandria,30614
22315,Alexandria,26202
20122,Centreville,N/A
20153,Chantilly,N/A
20172,Herndon,N/A
20195,Reston,N/A
22009,Burke,N/A
22038,Fairfax,N/A
22040,Falls Church,N/A
22103,West McLean,N/A
22106,McLean,N/A
22116,Merrifield,N/A
22121,Mount Vernon,N/A
22122,Newington,N/A
22183,Vienna,N/A
22199,Lorton,N/A
20196,Reston,N/A
22037,Fairfax,N/A
22082,Merrifield,N/A
22095,Herndon,N/A
22096,Reston,N/A
22107,McLean,N/A
22108,McLean,N/A
22109,McLean,N/A
22118,Merrifield,N/A
22119,Merrifield,N/A
22156,Springfield,N/A
22158,Springfield,N/A
22159,Springfield,N/A
22160,Springfield,N/A
22161,Springfield,N/A
22185,Vienna,N/A
